	path4	path6	collector	len4	len6
286	[286, 2914, 42, 27]	[286, 42, 27]	LINX, London	4.0	3.0
680	[680, 6939, 46887, 27]	[680, 6939, 42, 27]	Frankfurt, Germany	4.0	4.0
3257	[3257, 46887, 27]	[3257, 42, 27]	Frankfurt, Germany	3.0	3.0
5396	[5396, 6939, 46887, 27]	[5396, 6939, 42, 27]	Milan, Italy	4.0	4.0
6679	[6679, 3216, 42, 27]	[6679, 20485, 42, 27]	Moscow, Russia	4.0	4.0
6939	[6939, 46887, 27]	[6939, 42, 27]	Palo Alto, USA	3.0	3.0
8426	[8426, 6939, 46887, 27]	[8426, 6939, 42, 27]	France-IX, Paris	4.0	4.0
8455	[8455, 6939, 46887, 27]	[8455, 6939, 42, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
8758	[8758, 6939, 46887, 27]	[8758, 42, 27]	SwissIX, Zurich	4.0	3.0
12637	[12637, 6939, 46887, 27]	[12637, 6939, 42, 27]	Milan, Italy	4.0	4.0
12859	[12859, 6939, 46887, 27]	[12859, 6939, 42, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
15435	[15435, 6939, 46887, 27]	[15435, 6939, 42, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
15605	[15605, 6939, 46887, 27]	[15605, 12874, 42, 27]	Milan, Italy	4.0	4.0
19151	[19151, 42, 27]	[19151, 10886, 27]	Palo Alto, USA	3.0	3.0
25160	[25160, 6939, 46887, 27]	[25160, 42, 27]	LINX, London	4.0	3.0
28329	[28329, 6762, 42, 27]	[28329, 3549, 10886, 27]	Sao Paulo, Brazil	4.0	4.0
28941	[28941, 174, 10886, 27]	[28941, 6939, 42, 27]	Milan, Italy	4.0	4.0
29075	[29075, 42, 27]	[29075, 43100, 42, 27]	France-IX, Paris	3.0	4.0
29608	[29608, 6939, 46887, 27]	[29608, 6939, 42, 27]	RIPE NCC, Amsterdam	4.0	4.0
31122	[31122, 6939, 46887, 27]	[31122, 6939, 42, 27]	France-IX, Paris	4.0	4.0
41497	[41497, 6939, 46887, 27]	[41497, 6939, 42, 27]	Milan, Italy	4.0	4.0
49463	[49463, 6939, 46887, 27]	[49463, 6939, 42, 27]	France-IX, Paris	4.0	4.0
49835	[49835, 6939, 46887, 27]	[49835, 6939, 42, 27]	CATNIX, Barcelona	4.0	4.0
50620	[50620, 6939, 46887, 27]	[50620, 6939, 42, 27]	France-IX, Paris	4.0	4.0
50763	[50763, 6939, 46887, 27]	[50763, 6939, 42, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
51185	[51185, 42, 27]	[51185, 6939, 42, 27]	Milan, Italy	3.0	4.0
51405	[51405, 6939, 46887, 27]	[51405, 6939, 42, 27]	France-IX, Paris	4.0	4.0
56730	[56730, 42, 27]	[56730, 6939, 42, 27]	LINX, London	3.0	4.0
57821	[57821, 6939, 46887, 27]	[57821, 6939, 42, 27]	RIPE NCC, Amsterdam	4.0	4.0
58308	[58308, 6939, 46887, 27]	[58308, 6939, 42, 27]	France-IX, Paris	4.0	4.0
59689	[59689, 6939, 46887, 27]	[59689, 6939, 42, 27]	France-IX, Paris	4.0	4.0
