	path4	path6	collector	len4	len6
286	[286, 7342, 36625]	[286, 702, 7342, 36625]	LINX, London	3.0	4.0
513	[513, 21320, 2603, 7342, 36625]	[513, 21320, 6939, 7342, 36625]	CIXP, Geneva	5.0	5.0
1836	[1836, 13030, 7342, 36625]	[1836, 6939, 7342, 36625]	SwissIX, Zurich	4.0	4.0
1853	[1853, 1764, 7342, 36625]	[1853, 6939, 7342, 36625]	VIX, Vienna	4.0	4.0
3257	[3257, 7342, 36625]	[3257, 3356, 36625]	Frankfurt, Germany	3.0	3.0
4589	[4589, 7342, 36625]	[4589, 7342, 36619]	Frankfurt, Germany	3.0	3.0
5396	[5396, 3257, 7342, 36625]	[5396, 6939, 7342, 36625]	Milan, Italy	4.0	4.0
6453	[6453, 7342, 36625]	[6453, 7342, 36619]	AMS-IX and NL-IX, Amsterdam	3.0	3.0
6720	[6720, 1853, 1764, 7342, 36625]	[6720, 1853, 6939, 7342, 36625]	VIX, Vienna	5.0	5.0
7575	[7575, 7342, 36620]	[7575, 6939, 7342, 36620]	Palo Alto, USA	3.0	4.0
8426	[8426, 7342, 36625]	[8426, 6939, 7342, 36625]	France-IX, Paris	3.0	4.0
8596	[8596, 7342, 36625]	[8596, 6939, 7342, 36625]	VIX, Vienna	3.0	4.0
8758	[8758, 8220, 7342, 36625]	[8758, 6939, 7342, 36625]	SwissIX, Zurich	4.0	4.0
9304	[9304, 7342, 36625]	[9304, 6939, 7342, 36619]	New York (NY), USA	3.0	4.0
13030	[13030, 7342, 36619]	[13030, 7342, 36625]	New York (NY), USA	3.0	3.0
14840	[14840, 7342, 36619]	[14840, 6939, 7342, 36619]	Sao Paulo, Brazil	3.0	4.0
15547	[15547, 7342, 36625]	[15547, 6939, 7342, 36625]	France-IX, Paris	3.0	4.0
20612	[20612, 31424, 7342, 36625]	[20612, 6939, 7342, 36625]	SwissIX, Zurich	4.0	4.0
25152	[25152, 6939, 7342, 36619]	[25152, 23148, 7342, 36619]	Miami, USA	4.0	4.0
25160	[25160, 7342, 36625]	[25160, 6939, 7342, 36625]	LINX, London	3.0	4.0
28329	[28329, 6762, 2914, 36619]	[28329, 6939, 7342, 36619]	Sao Paulo, Brazil	4.0	4.0
29608	[29608, 3356, 36625]	[29608, 6939, 7342, 36625]	RIPE NCC, Amsterdam	3.0	4.0
29691	[29691, 13030, 7342, 36622]	[29691, 6939, 7342, 36622]	SwissIX, Zurich	4.0	4.0
31122	[31122, 7342, 36625]	[31122, 6939, 7342, 36625]	France-IX, Paris	3.0	4.0
34146	[34146, 29075, 7342, 36625]	[34146, 6939, 7342, 36625]	SwissIX, Zurich	4.0	4.0
34288	[34288, 7342, 36625]	[34288, 7342, 36622]	Frankfurt, Germany	3.0	3.0
34781	[34781, 7342, 36625]	[34781, 6939, 7342, 36625]	SwissIX, Zurich	3.0	4.0
37271	[37271, 3356, 36625]	[37271, 6939, 7342, 36625]	NAP Africa JB, Johannesburg	3.0	4.0
41497	[41497, 3257, 7342, 36625]	[41497, 6939, 7342, 36625]	Milan, Italy	4.0	4.0
47872	[47872, 7342, 36625]	[47872, 6939, 7342, 36625]	Stockholm, Sweden	3.0	4.0
49463	[49463, 7342, 36625]	[49463, 6939, 7342, 36625]	France-IX, Paris	3.0	4.0
49835	[49835, 2914, 36625]	[49835, 6939, 7342, 36625]	CATNIX, Barcelona	3.0	4.0
50620	[50620, 174, 3356, 36625]	[50620, 6939, 7342, 36625]	France-IX, Paris	4.0	4.0
51185	[51185, 7342, 36625]	[51185, 6939, 7342, 36625]	Milan, Italy	3.0	4.0
51405	[51405, 24611, 3356, 36625]	[51405, 6939, 7342, 36625]	France-IX, Paris	4.0	4.0
52720	[52720, 52873, 12956, 7342, 36620]	[52720, 6939, 7342, 36619]	Sao Paulo, Brazil	5.0	4.0
52888	[52888, 1916, 7342, 36619]	[52888, 6939, 7342, 36619]	Sao Paulo, Brazil	4.0	4.0
53070	[53070, 10429, 12956, 7342, 36625]	[53070, 6939, 7342, 36619]	Sao Paulo, Brazil	5.0	4.0
56730	[56730, 7342, 36625]	[56730, 6939, 7342, 36625]	LINX, London	3.0	4.0
57821	[57821, 12586, 31025, 7342, 36625]	[57821, 6939, 7342, 36625]	RIPE NCC, Amsterdam	5.0	4.0
58308	[58308, 29075, 7342, 36625]	[58308, 6939, 7342, 36625]	France-IX, Paris	4.0	4.0
59689	[59689, 30781, 7342, 36625]	[59689, 6939, 7342, 36625]	France-IX, Paris	4.0	4.0
62567	[62567, 2914, 36619]	[62567, 6939, 7342, 36619]	New York (NY), USA	3.0	4.0
198290	[198290, 6661, 7342, 36625]	[198290, 6939, 7342, 36625]	France-IX, Paris	4.0	4.0
263584	[263584, 263321, 18881, 3549, 3356, 36619]	[263584, 6939, 7342, 36619]	Sao Paulo, Brazil	6.0	4.0
