	path4	path6	collector	len4	len6
286	[286, 7342, 36625]	[286, 702, 7342, 36625]	LINX, London	3.0	4.0
513	[513, 3320, 7342, 36625]	[513, 20965, 6939, 7342, 36622]	CIXP, Geneva	4.0	5.0
1836	[1836, 7342, 36625]	[1836, 6939, 7342, 36622]	SwissIX, Zurich	3.0	4.0
1853	[1853, 1764, 7342, 36625]	[1853, 6939, 7342, 36622]	VIX, Vienna	4.0	4.0
3252	[3252, 7342, 36622]	[3252, 7342, 36625]	Moscow, Russia	3.0	3.0
3257	[3257, 7342, 36625]	[3257, 6939, 7342, 36622]	Frankfurt, Germany	3.0	4.0
4589	[4589, 7342, 36622]	[4589, 7342, 36619]	Frankfurt, Germany	3.0	3.0
5396	[5396, 3257, 7342, 36625]	[5396, 6939, 7342, 36622]	Milan, Italy	4.0	4.0
6679	[6679, 3216, 7342, 36625]	[6679, 20485, 7342, 36622]	Moscow, Russia	4.0	4.0
6720	[6720, 8447, 7342, 36625]	[6720, 1853, 6939, 7342, 36622]	VIX, Vienna	4.0	5.0
7575	[7575, 7342, 36620]	[7575, 2914, 36631]	Palo Alto, USA	3.0	3.0
8426	[8426, 7342, 36625]	[8426, 6939, 7342, 36625]	France-IX, Paris	3.0	4.0
8596	[8596, 7342, 36622]	[8596, 6939, 7342, 36622]	VIX, Vienna	3.0	4.0
8758	[8758, 8220, 7342, 36622]	[8758, 6939, 7342, 36622]	SwissIX, Zurich	4.0	4.0
9002	[9002, 7342, 36625]	[9002, 7342, 36622]	Moscow, Russia	3.0	3.0
9304	[9304, 7342, 36625]	[9304, 6939, 7342, 36619]	New York (NY), USA	3.0	4.0
13030	[13030, 7342, 36619]	[13030, 7342, 36622]	New York (NY), USA	3.0	3.0
15605	[15605, 12874, 7342, 36625]	[15605, 12874, 7342, 36622]	Milan, Italy	4.0	4.0
25160	[25160, 7342, 36625]	[25160, 6939, 7342, 36625]	LINX, London	3.0	4.0
28329	[28329, 6762, 2914, 36619]	[28329, 3549, 3356, 36620]	Sao Paulo, Brazil	4.0	4.0
29608	[29608, 3356, 36625]	[29608, 6939, 7342, 36625]	RIPE NCC, Amsterdam	3.0	4.0
29691	[29691, 13030, 7342, 36622]	[29691, 6939, 7342, 36622]	SwissIX, Zurich	4.0	4.0
31122	[31122, 7342, 36625]	[31122, 6939, 7342, 36625]	France-IX, Paris	3.0	4.0
34146	[34146, 29075, 7342, 36625]	[34146, 25091, 7342, 36625]	SwissIX, Zurich	4.0	4.0
41497	[41497, 3257, 7342, 36625]	[41497, 6939, 7342, 36622]	Milan, Italy	4.0	4.0
48526	[48526, 7342, 36625]	[48526, 7342, 36622]	France-IX, Paris	3.0	3.0
49463	[49463, 8218, 7342, 36625]	[49463, 6939, 7342, 36625]	France-IX, Paris	4.0	4.0
49835	[49835, 2914, 36625]	[49835, 6939, 7342, 36622]	CATNIX, Barcelona	3.0	4.0
50620	[50620, 174, 3356, 36625]	[50620, 6939, 7342, 36625]	France-IX, Paris	4.0	4.0
51405	[51405, 24611, 6661, 7342, 36625]	[51405, 6939, 7342, 36625]	France-IX, Paris	5.0	4.0
56730	[56730, 7342, 36625]	[56730, 6939, 7342, 36625]	LINX, London	3.0	4.0
57118	[57118, 196621, 8758, 8220, 7342, 36622]	[57118, 6939, 7342, 36622]	SwissIX, Zurich	6.0	4.0
57821	[57821, 12586, 31025, 7342, 36622]	[57821, 6939, 7342, 36622]	RIPE NCC, Amsterdam	5.0	4.0
58308	[58308, 29075, 7342, 36625]	[58308, 6939, 7342, 36625]	France-IX, Paris	4.0	4.0
59689	[59689, 8218, 7342, 36625]	[59689, 6939, 7342, 36625]	France-IX, Paris	4.0	4.0
62567	[62567, 2914, 36619]	[62567, 6939, 7342, 36619]	New York (NY), USA	3.0	4.0
198290	[198290, 197264, 7342, 36622]	[198290, 6939, 7342, 36625]	France-IX, Paris	4.0	4.0
