	path4	path6	collector	len4	len6
286	[286, 22773, 10913, 26134, 11840]	[286, 6939, 26415]	AMS-IX and NL-IX, Amsterdam	5.0	3.0
559	[559, 3356, 10913, 26134, 11840]	[559, 3356, 26415]	CIXP, Geneva	5.0	3.0
1103	[1103, 3549, 10913, 26134, 11840]	[1103, 6939, 26415]	AMS-IX and NL-IX, Amsterdam	5.0	3.0
1280	[1280, 3356, 10913, 26134, 11840]	[1280, 6939, 26415]	Palo Alto, USA	5.0	3.0
1853	[1853, 3356, 10913, 26134, 11840]	[1853, 3356, 26415]	VIX, Vienna	5.0	3.0
1930	[1930, 20965, 1299, 1239, 26134, 11840]	[1930, 20965, 3356, 26415]	RIPE NCC, Amsterdam	6.0	4.0
2497	[2497, 7018, 26134, 11840]	[2497, 3257, 26415]	Palo Alto, USA	4.0	3.0
2914	[2914, 10913, 26134, 11840]	[2914, 6939, 26415]	Palo Alto, USA	4.0	3.0
3257	[3257, 3549, 10913, 26134, 11840]	[3257, 26415]	RIPE NCC, Amsterdam	5.0	2.0
4589	[4589, 3549, 10913, 26134, 11840]	[4589, 3257, 26415]	Frankfurt, Germany	5.0	3.0
6667	[6667, 1239, 26134, 11840]	[6667, 3257, 26415]	Stockholm, Sweden	4.0	3.0
6762	[6762, 701, 26134, 11840]	[6762, 6939, 26415]	Palo Alto, USA	4.0	3.0
7575	[7575, 22773, 10913, 26134, 11840]	[7575, 6939, 26415]	Palo Alto, USA	5.0	3.0
8447	[8447, 3320, 7018, 26134, 11840]	[8447, 3356, 26415]	VIX, Vienna	5.0	3.0
12779	[12779, 1239, 26134, 11840]	[12779, 3257, 26415]	Milan, Italy	4.0	3.0
12859	[12859, 2914, 10913, 26134, 11840]	[12859, 3257, 26415]	AMS-IX and NL-IX, Amsterdam	5.0	3.0
13237	[13237, 3320, 7018, 26134, 11840]	[13237, 6939, 26415]	Frankfurt, Germany	5.0	3.0
24875	[24875, 6461, 701, 26134, 11840]	[24875, 6939, 26415]	AMS-IX and NL-IX, Amsterdam	5.0	3.0
29449	[29449, 5392, 3549, 10913, 26134, 11840]	[29449, 5602, 3257, 26415]	Milan, Italy	6.0	4.0
29636	[29636, 2914, 10913, 26134, 11840]	[29636, 6939, 26415]	LINX, London	5.0	3.0
29686	[29686, 1299, 1239, 26134, 11840]	[29686, 6939, 26415]	Frankfurt, Germany	5.0	3.0
30132	[30132, 6939, 22212, 10913, 26134, 11840]	[30132, 6939, 26415]	AMS-IX and NL-IX, Amsterdam	6.0	3.0
34225	[34225, 1299, 1239, 26134, 11840]	[34225, 41692, 6939, 26415]	RIPE NCC, Amsterdam	5.0	4.0
