	collector	path4	path6	len4	len6
286	VIX, Vienna	[286, 7342, 36625, 26415]	[286, 6939, 26415]	4.0	3.0
680	Frankfurt, Germany	[680, 20965, 2602, 26415]	[680, 6939, 26415]	4.0	3.0
1280	Palo Alto, USA	[1280, 3356, 41364, 26415]	[1280, 701, 26415]	4.0	3.0
1853	VIX, Vienna	[1853, 2852, 26415]	[1853, 3356, 26415]	3.0	3.0
1930	RIPE NCC, Amsterdam	[1930, 26415]	[1930, 20965, 3549, 6175, 26415]	2.0	5.0
2497	Palo Alto, USA	[2497, 7342, 36624, 26415]	[2497, 26415]	4.0	2.0
2914	Palo Alto, USA	[2914, 36625, 26415]	[2914, 6939, 26415]	3.0	3.0
3257	Frankfurt, Germany	[3257, 9498, 26415]	[3257, 6939, 26415]	3.0	3.0
6667	Stockholm, Sweden	[6667, 3327, 26415]	[6667, 6939, 26415]	3.0	3.0
6762	Palo Alto, USA	[6762, 8167, 26415]	[6762, 6939, 26415]	3.0	3.0
6850	Moscow, Russia	[6850, 48268, 15685, 8928, 8308, 26415]	[6850, 8359, 26415]	6.0	3.0
6881	RIPE NCC, Amsterdam	[6881, 26415]	[6881, 15685, 29208, 6939, 26415]	2.0	5.0
6939	Palo Alto, USA	[6939, 10026, 26415]	[6939, 26415]	3.0	2.0
7575	Palo Alto, USA	[7575, 17819, 26415]	[7575, 30071, 7018, 26415]	3.0	4.0
8426	New York (NY), USA	[8426, 9498, 26415]	[8426, 6939, 26415]	3.0	3.0
8447	VIX, Vienna	[8447, 16150, 26415]	[8447, 6939, 26415]	3.0	3.0
8758	RIPE NCC, Amsterdam	[8758, 3303, 29403, 26415]	[8758, 6939, 26415]	4.0	3.0
9002	Moscow, Russia	[9002, 26415]	[9002, 6939, 26415]	2.0	3.0
9189	Frankfurt, Germany	[9189, 6939, 10026, 26415]	[9189, 6695, 6939, 26415]	4.0	4.0
13030	New York (NY), USA	[13030, 16150, 26415]	[13030, 26415]	3.0	2.0
13237	Frankfurt, Germany	[13237, 7342, 36625, 26415]	[13237, 6939, 26415]	4.0	3.0
16735	Sao Paulo, Brazil	[16735, 8167, 26415]	[16735, 6762, 3356, 26415]	3.0	4.0
19151	Palo Alto, USA	[19151, 7342, 36624, 26415]	[19151, 26415]	4.0	2.0
20640	Frankfurt, Germany	[20640, 3327, 26415]	[20640, 6939, 26415]	3.0	3.0
22548	Sao Paulo, Brazil	[22548, 8167, 26415]	[22548, 3549, 3356, 26415]	3.0	4.0
28138	Sao Paulo, Brazil	[28138, 16735, 8167, 26415]	[28138, 16735, 12956, 6939, 26415]	4.0	5.0
28917	Moscow, Russia	[28917, 21156, 35254, 26415]	[28917, 6939, 26415]	4.0	3.0
29636	LINX, London	[29636, 7342, 36625, 26415]	[29636, 6939, 26415]	4.0	3.0
29686	Frankfurt, Germany	[29686, 8308, 26415]	[29686, 6939, 26415]	3.0	3.0
34288	Frankfurt, Germany	[34288, 9002, 26415]	[34288, 6939, 26415]	3.0	3.0
42708	LINX, London	[42708, 7342, 36623, 26415]	[42708, 6939, 26415]	4.0	3.0
53070	Sao Paulo, Brazil	[53070, 16735, 8167, 26415]	[53070, 16735, 3549, 3356, 26415]	4.0	5.0
196613	RIPE NCC, Amsterdam	[196613, 1125, 1103, 20965, 2602, 26415]	[196613, 1125, 1103, 6939, 26415]	6.0	5.0
