	collector	path4	path6	len4	len6
553	Frankfurt, Germany	[553, 8308, 26415]	[553, 6939, 7342, 36625, 26415]	3.0	5.0
680	Frankfurt, Germany	[680, 20965, 2602, 26415]	[680, 3356, 36616]	4.0	3.0
1103	AMS-IX and NL-IX, Amsterdam	[1103, 20965, 2602, 26415]	[1103, 7342, 36623, 26415]	4.0	4.0
1280	Palo Alto, USA	[1280, 7342, 36618]	[1280, 3356, 36616]	3.0	3.0
1853	VIX, Vienna	[1853, 2852, 26415]	[1853, 3356, 36616]	3.0	3.0
1916	Sao Paulo, Brazil	[1916, 27750, 20965, 2602, 26415]	[1916, 20080, 11537, 11164, 7342, 36619, 26415]	5.0	7.0
2497	Palo Alto, USA	[2497, 7342, 36618]	[2497, 3356, 36616]	3.0	3.0
2914	Palo Alto, USA	[2914, 36627]	[2914, 36624, 26415]	2.0	3.0
3257	Frankfurt, Germany	[3257, 30827, 26415]	[3257, 3356, 36616]	3.0	3.0
4589	Frankfurt, Germany	[4589, 26415]	[4589, 3320, 3356, 36616]	2.0	4.0
5396	Milan, Italy	[5396, 6939, 271, 26415]	[5396, 6939, 7342, 36625, 26415]	4.0	5.0
6667	Stockholm, Sweden	[6667, 7342, 36618]	[6667, 6939, 7342, 36623, 26415]	3.0	5.0
6762	Palo Alto, USA	[6762, 8452, 36885, 26415]	[6762, 3356, 36616]	4.0	3.0
6939	Palo Alto, USA	[6939, 271, 26415]	[6939, 7342, 36624, 26415]	3.0	4.0
7575	Palo Alto, USA	[7575, 24115, 26415]	[7575, 6939, 7342, 36624, 26415]	3.0	5.0
8447	VIX, Vienna	[8447, 16150, 26415]	[8447, 6939, 7342, 36625, 26415]	3.0	5.0
8596	VIX, Vienna	[8596, 35254, 26415]	[8596, 6939, 7342, 36625, 26415]	3.0	5.0
9002	Moscow, Russia	[9002, 26415]	[9002, 3356, 36616]	2.0	3.0
9189	Frankfurt, Germany	[9189, 6695, 8308, 26415]	[9189, 6695, 6939, 7342, 36625, 26415]	4.0	6.0
12637	Milan, Italy	[12637, 6939, 271, 26415]	[12637, 6939, 7342, 36625, 26415]	4.0	5.0
12779	Milan, Italy	[12779, 26415]	[12779, 7342, 36625, 26415]	2.0	4.0
12859	AMS-IX and NL-IX, Amsterdam	[12859, 7342, 36618]	[12859, 7342, 36623, 26415]	3.0	4.0
12989	AMS-IX and NL-IX, Amsterdam	[12989, 7342, 36618]	[12989, 7342, 36623, 26415]	3.0	4.0
13237	Frankfurt, Germany	[13237, 26415]	[13237, 6939, 7342, 36625, 26415]	2.0	5.0
14840	Sao Paulo, Brazil	[14840, 18881, 12956, 7342, 36618]	[14840, 18881, 3549, 36619, 26415]	5.0	5.0
15435	AMS-IX and NL-IX, Amsterdam	[15435, 20562, 16150, 26415]	[15435, 286, 3356, 36616]	4.0	4.0
15605	Milan, Italy	[15605, 1267, 26415]	[15605, 174, 3356, 36616]	3.0	4.0
16735	Sao Paulo, Brazil	[16735, 7342, 36628]	[16735, 7342, 36619, 26415]	3.0	4.0
19151	Palo Alto, USA	[19151, 7342, 36618]	[19151, 26415, 36624]	3.0	3.0
20640	Frankfurt, Germany	[20640, 6695, 8308, 26415]	[20640, 33843, 1299, 3356, 36616]	4.0	5.0
25091	CIXP, Geneva	[25091, 6939, 271, 26415]	[25091, 3356, 36616]	4.0	3.0
25152	Otemachi, Japan	[25152, 2914, 36627]	[25152, 2497, 3356, 36616]	3.0	4.0
25220	Frankfurt, Germany	[25220, 8308, 26415]	[25220, 7342, 36625, 26415]	3.0	4.0
28289	Sao Paulo, Brazil	[28289, 53131, 16735, 7342, 36628]	[28289, 53131, 16735, 7342, 36619, 26415]	5.0	6.0
28917	Moscow, Russia	[28917, 21156, 35254, 26415]	[28917, 6939, 7342, 36623, 26415]	4.0	5.0
29140	Frankfurt, Germany	[29140, 8308, 26415]	[29140, 6939, 7342, 36623, 26415]	3.0	5.0
29686	Frankfurt, Germany	[29686, 16150, 26415]	[29686, 3257, 3356, 36616]	3.0	4.0
31019	AMS-IX and NL-IX, Amsterdam	[31019, 7342, 36618]	[31019, 7342, 36623, 26415]	3.0	4.0
34288	Frankfurt, Germany	[34288, 9002, 26415]	[34288, 3356, 36616]	3.0	3.0
35369	VIX, Vienna	[35369, 8591, 29485, 26415]	[35369, 6939, 7342, 36625, 26415]	4.0	5.0
39912	VIX, Vienna	[39912, 26415]	[39912, 7342, 36625, 26415]	2.0	4.0
48166	Frankfurt, Germany	[48166, 3327, 26415]	[48166, 9002, 3356, 36616]	3.0	4.0
50763	AMS-IX and NL-IX, Amsterdam	[50763, 7342, 36618]	[50763, 7342, 36623, 26415]	3.0	4.0
51185	Milan, Italy	[51185, 6939, 271, 26415]	[51185, 6939, 7342, 36625, 26415]	4.0	5.0
