	path4	collector	path6	len4	len6
513	[513, 6730, 30132, 3557]	CIXP, Geneva	[513, 6730, 5511, 1280]	4.0	4.0
559	[559, 30132]	CIXP, Geneva	[559, 6939, 33071, 3557]	2.0	4.0
1916	[1916, 27750, 27807, 27859, 3557]	Sao Paulo, Brazil	[1916, 20080, 11537, 1280]	5.0	4.0
3257	[3257, 30132, 3557]	Frankfurt, Germany	[3257, 1280]	3.0	2.0
6762	[6762, 30132, 3557]	Frankfurt, Germany	[6762, 1280]	3.0	2.0
8447	[8447, 30132]	VIX, Vienna	[8447, 6939, 33071, 3557]	2.0	4.0
9002	[9002, 30124, 3557]	Moscow, Russia	[9002, 30134, 3557]	3.0	3.0
13237	[13237, 30128, 3557]	Frankfurt, Germany	[13237, 6939, 33071, 3557]	3.0	4.0
22548	[22548, 30122, 3557]	Sao Paulo, Brazil	[22548, 16735, 12956, 6762, 1280]	3.0	5.0
29636	[29636, 39326, 33073, 3557]	LINX, London	[29636, 6939, 33071, 3557]	4.0	4.0
34695	[34695, 30134, 3557]	Milan, Italy	[34695, 6939, 33071, 3557]	3.0	4.0
