	collector	path4	path6	len4	len6
286	VIX, Vienna	[286, 8218, 20144]	[286, 21011, 20144]	3.0	3.0
680	Frankfurt, Germany	[680, 6939, 20144]	[680, 20965, 11537, 7575, 20144]	3.0	5.0
1103	AMS-IX and NL-IX, Amsterdam	[1103, 20965, 5408, 8522, 20144]	[1103, 20965, 11537, 7575, 20144]	5.0	5.0
1853	VIX, Vienna	[1853, 2852, 20144]	[1853, 3356, 20144]	3.0	3.0
2914	Palo Alto, USA	[2914, 24990, 20144]	[2914, 30781, 20144]	3.0	3.0
3257	Frankfurt, Germany	[3257, 8954, 20144]	[3257, 6939, 20144]	3.0	3.0
4589	Frankfurt, Germany	[4589, 8218, 20144]	[4589, 5577, 20144]	3.0	3.0
6667	Stockholm, Sweden	[6667, 6939, 20144]	[6667, 21011, 20144]	3.0	3.0
6762	Palo Alto, USA	[6762, 8966, 35019, 35313, 51406, 23148, 20144]	[6762, 6939, 20144]	7.0	3.0
6881	RIPE NCC, Amsterdam	[6881, 20144]	[6881, 6939, 20144]	2.0	3.0
8447	VIX, Vienna	[8447, 8218, 20144]	[8447, 6939, 20144]	3.0	3.0
9002	Stockholm, Sweden	[9002, 43355, 48268, 15685, 20144]	[9002, 21011, 20144]	5.0	3.0
9189	Frankfurt, Germany	[9189, 5577, 20144]	[9189, 6695, 21011, 20144]	3.0	4.0
12779	Milan, Italy	[12779, 34695, 20144]	[12779, 5577, 20144]	3.0	3.0
12859	AMS-IX and NL-IX, Amsterdam	[12859, 8473, 20144]	[12859, 21011, 20144]	3.0	3.0
13237	Frankfurt, Germany	[13237, 8218, 20144]	[13237, 21011, 20144]	3.0	3.0
15469	Milan, Italy	[15469, 34695, 20144]	[15469, 6939, 20144]	3.0	3.0
29140	Frankfurt, Germany	[29140, 30781, 20144]	[29140, 21011, 20144]	3.0	3.0
34695	Frankfurt, Germany	[34695, 20144]	[34695, 5577, 20144]	2.0	3.0
35369	VIX, Vienna	[35369, 12301, 50146, 20144]	[35369, 8218, 5577, 20144]	4.0	4.0
39912	Milan, Italy	[39912, 34695, 20144]	[39912, 30781, 20144]	3.0	3.0
