	collector	path4	path6	len4	len6
553	Frankfurt, Germany	[553, 12883, 20144]	[553, 12731, 20144]	3.0	3.0
680	Frankfurt, Germany	[680, 12731, 20144]	[680, 20965, 5408, 8522, 20144]	3.0	5.0
1299	LINX, London	[1299, 8473, 20144]	[1299, 8218, 20144]	3.0	3.0
1853	VIX, Vienna	[1853, 2852, 20144]	[1853, 8218, 20144]	3.0	3.0
1916	Sao Paulo, Brazil	[1916, 20144]	[1916, 22548, 20144]	2.0	3.0
2914	Frankfurt, Germany	[2914, 12883, 20144]	[2914, 30781, 20144]	3.0	3.0
4589	Frankfurt, Germany	[4589, 12731, 20144]	[4589, 8218, 20144]	3.0	3.0
6667	Stockholm, Sweden	[6667, 6939, 20144]	[6667, 21011, 20144]	3.0	3.0
6881	RIPE NCC, Amsterdam	[6881, 20144]	[6881, 6939, 20144]	2.0	3.0
8447	VIX, Vienna	[8447, 8218, 20144]	[8447, 6939, 20144]	3.0	3.0
8607	LINX, London	[8607, 33920, 20144]	[8607, 6939, 20144]	3.0	3.0
9189	Frankfurt, Germany	[9189, 6939, 20144]	[9189, 6695, 6939, 20144]	3.0	4.0
12859	AMS-IX and NL-IX, Amsterdam	[12859, 8954, 20144]	[12859, 39138, 20144]	3.0	3.0
13030	New York (NY), USA	[13030, 3491, 6503, 22894, 20144]	[13030, 1273, 21011, 20144]	5.0	4.0
14840	Sao Paulo, Brazil	[14840, 20144]	[14840, 22548, 20144]	2.0	3.0
15435	AMS-IX and NL-IX, Amsterdam	[15435, 21011, 20144]	[15435, 39138, 20144]	3.0	3.0
25160	LINX, London	[25160, 33920, 20144]	[25160, 8218, 20144]	3.0	3.0
25220	Frankfurt, Germany	[25220, 12883, 20144]	[25220, 6939, 20144]	3.0	3.0
28289	Sao Paulo, Brazil	[28289, 20144]	[28289, 16735, 20144]	2.0	3.0
28917	Moscow, Russia	[28917, 12883, 20144]	[28917, 9002, 12883, 20144]	3.0	4.0
29049	RIPE NCC, Amsterdam	[29049, 12883, 20144]	[29049, 20144]	3.0	2.0
29608	RIPE NCC, Amsterdam	[29608, 20144]	[29608, 8218, 20144]	2.0	3.0
29636	LINX, London	[29636, 12713, 34984, 20144]	[29636, 6939, 20144]	4.0	3.0
29686	Frankfurt, Germany	[29686, 21011, 20144]	[29686, 12731, 20144]	3.0	3.0
31019	AMS-IX and NL-IX, Amsterdam	[31019, 12883, 20144]	[31019, 6939, 20144]	3.0	3.0
39912	VIX, Vienna	[39912, 20144]	[39912, 6939, 20144]	2.0	3.0
48166	Frankfurt, Germany	[48166, 21011, 20144]	[48166, 39138, 20144]	3.0	3.0
50300	RIPE NCC, Amsterdam	[50300, 33920, 20144]	[50300, 8218, 20144]	3.0	3.0
56730	LINX, London	[56730, 6939, 20144]	[56730, 8218, 20144]	3.0	3.0
57381	RIPE NCC, Amsterdam	[57381, 42708, 20144]	[57381, 42708, 6939, 20144]	3.0	4.0
57821	RIPE NCC, Amsterdam	[57821, 12731, 20144]	[57821, 6939, 20144]	3.0	3.0
