	path4	path6	collector	len4	len6
286	[286, 7342, 36622, 26415]	[286, 7342, 36632]	LINX, London	4.0	3.0
553	[553, 702, 36622, 26415]	[553, 6939, 7342, 36632]	Frankfurt, Germany	4.0	4.0
680	[680, 702, 36622, 26415]	[680, 6939, 7342, 36632]	Frankfurt, Germany	4.0	4.0
1103	[1103, 7342, 36622, 26415]	[1103, 6939, 7342, 36632]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
1280	[1280, 7342, 36620, 26415]	[1280, 7342, 36632]	Palo Alto, USA	4.0	3.0
1299	[1299, 7342, 36622, 26415]	[1299, 10026, 36630, 26415]	LINX, London	4.0	4.0
1836	[1836, 7342, 36622, 26415]	[1836, 6939, 7342, 36632]	RIPE NCC, Amsterdam	4.0	4.0
1853	[1853, 3356, 10026, 36631, 26415]	[1853, 6939, 7342, 36632]	VIX, Vienna	5.0	4.0
2497	[2497, 7342, 36620, 26415]	[2497, 7342, 36632]	Palo Alto, USA	4.0	3.0
2914	[2914, 36619, 26415]	[2914, 36624, 26415]	Palo Alto, USA	3.0	3.0
3257	[3257, 10026, 36631, 26415]	[3257, 10026, 36630, 26415]	Frankfurt, Germany	4.0	4.0
4589	[4589, 7342, 36622, 26415]	[4589, 26415, 36632]	Frankfurt, Germany	4.0	3.0
5396	[5396, 3549, 36622, 26415]	[5396, 6939, 7342, 36632]	Milan, Italy	4.0	4.0
6667	[6667, 7342, 36622, 26415]	[6667, 6939, 7342, 36632]	Stockholm, Sweden	4.0	4.0
6762	[6762, 10026, 36631, 26415]	[6762, 6939, 7342, 36632]	Palo Alto, USA	4.0	4.0
6881	[6881, 3257, 10026, 36631, 26415]	[6881, 6939, 7342, 36632]	RIPE NCC, Amsterdam	5.0	4.0
7575	[7575, 7342, 36620, 26415]	[7575, 6939, 7342, 36632]	Palo Alto, USA	4.0	4.0
8447	[8447, 7342, 36622, 26415]	[8447, 1299, 10026, 36630, 26415]	VIX, Vienna	4.0	5.0
8596	[8596, 2914, 36619, 26415]	[8596, 6939, 7342, 36632]	VIX, Vienna	4.0	4.0
8607	[8607, 10026, 36631, 26415]	[8607, 6939, 7342, 36632]	LINX, London	4.0	4.0
8758	[8758, 6830, 7342, 36622, 26415]	[8758, 6939, 7342, 36632]	RIPE NCC, Amsterdam	5.0	4.0
9002	[9002, 7342, 36622, 26415]	[9002, 6939, 7342, 36632]	Moscow, Russia	4.0	4.0
9189	[9189, 8422, 7342, 36622, 26415]	[9189, 6695, 6939, 7342, 36632]	Frankfurt, Germany	5.0	5.0
12637	[12637, 7342, 36622, 26415]	[12637, 6939, 7342, 36632]	Milan, Italy	4.0	4.0
12779	[12779, 7342, 36622, 26415]	[12779, 6939, 7342, 36632]	Milan, Italy	4.0	4.0
12859	[12859, 7342, 36622, 26415]	[12859, 7342, 36632]	AMS-IX and NL-IX, Amsterdam	4.0	3.0
12989	[12989, 7342, 36622, 26415]	[12989, 7342, 36632]	AMS-IX and NL-IX, Amsterdam	4.0	3.0
13030	[13030, 7342, 36622, 26415]	[13030, 7342, 36632]	New York (NY), USA	4.0	3.0
13237	[13237, 36622, 26415]	[13237, 6939, 7342, 36632]	Frankfurt, Germany	3.0	4.0
15469	[15469, 6762, 10026, 36631, 26415]	[15469, 13030, 7342, 36632]	RIPE NCC, Amsterdam	5.0	4.0
19151	[19151, 7342, 36620, 26415]	[19151, 26415, 36632]	Palo Alto, USA	4.0	3.0
22652	[22652, 6453, 7342, 36619, 26415]	[22652, 6939, 7342, 36632]	RIPE NCC, Amsterdam	5.0	4.0
28917	[28917, 7342, 36622, 26415]	[28917, 6939, 7342, 36632]	Moscow, Russia	4.0	4.0
29049	[29049, 7342, 36622, 26415]	[29049, 1273, 7342, 36632]	RIPE NCC, Amsterdam	4.0	4.0
29140	[29140, 41692, 7342, 36622, 26415]	[29140, 6939, 7342, 36632]	Frankfurt, Germany	5.0	4.0
29608	[29608, 3356, 10026, 36631, 26415]	[29608, 6939, 7342, 36632]	RIPE NCC, Amsterdam	5.0	4.0
29636	[29636, 7342, 36622, 26415]	[29636, 6939, 7342, 36632]	LINX, London	4.0	4.0
29686	[29686, 21385, 7342, 36622, 26415]	[29686, 6939, 7342, 36632]	Frankfurt, Germany	5.0	4.0
30844	[30844, 7342, 36622, 26415]	[30844, 6939, 7342, 36632]	LINX, London	4.0	4.0
31019	[31019, 7342, 36622, 26415]	[31019, 7342, 36632]	AMS-IX and NL-IX, Amsterdam	4.0	3.0
34288	[34288, 7342, 36622, 26415]	[34288, 7342, 36632]	Frankfurt, Germany	4.0	3.0
34695	[34695, 7342, 36622, 26415]	[34695, 6939, 7342, 36632]	Milan, Italy	4.0	4.0
35369	[35369, 8218, 7342, 36622, 26415]	[35369, 6939, 7342, 36632]	VIX, Vienna	5.0	4.0
39912	[39912, 7342, 36622, 26415]	[39912, 7342, 36632]	VIX, Vienna	4.0	3.0
50304	[50304, 7342, 36622, 26415]	[50304, 6939, 7342, 36632]	RIPE NCC, Amsterdam	4.0	4.0
50763	[50763, 7342, 36622, 26415]	[50763, 7342, 36632]	AMS-IX and NL-IX, Amsterdam	4.0	3.0
57381	[57381, 42708, 7342, 36622, 26415]	[57381, 42708, 7342, 36632]	RIPE NCC, Amsterdam	5.0	4.0
