	path4	path6	collector	len4	len6
1280	[1280, 3356, 36620, 26415]	[1280, 3356, 26415]	Palo Alto, USA	4.0	3.0
1930	[1930, 20965, 3549, 36622, 26415]	[1930, 20965, 3549, 6175, 26415]	RIPE NCC, Amsterdam	5.0	5.0
2497	[2497, 7342, 36620, 26415]	[2497, 26415]	Palo Alto, USA	4.0	2.0
6667	[6667, 7342, 36622, 26415]	[6667, 6939, 26415]	Stockholm, Sweden	4.0	3.0
6762	[6762, 3549, 36620, 26415]	[6762, 6939, 26415]	Palo Alto, USA	4.0	3.0
6881	[6881, 29208, 7342, 36622, 26415]	[6881, 15685, 29208, 6939, 26415]	RIPE NCC, Amsterdam	5.0	5.0
7575	[7575, 7342, 36620, 26415]	[7575, 6939, 26415]	Palo Alto, USA	4.0	3.0
9002	[9002, 7342, 36622, 26415]	[9002, 6939, 26415]	Stockholm, Sweden	4.0	3.0
19151	[19151, 7342, 36620, 26415]	[19151, 26415]	Palo Alto, USA	4.0	2.0
196613	[196613, 1125, 1103, 7342, 36622, 26415]	[196613, 1125, 1103, 6939, 26415]	RIPE NCC, Amsterdam	6.0	5.0
