	path4	path6	collector	len4	len6
286	[286, 7342, 36625]	[286, 702, 7342, 36625]	LINX, London	3.0	4.0
513	[513, 3320, 7342, 36625]	[513, 20965, 6939, 7342, 36622]	CIXP, Geneva	4.0	5.0
1836	[1836, 7342, 36625]	[1836, 6939, 7342, 36622]	RIPE NCC, Amsterdam	3.0	4.0
1853	[1853, 1764, 7342, 36625]	[1853, 6939, 7342, 36622]	VIX, Vienna	4.0	4.0
3257	[3257, 7342, 36625]	[3257, 10026, 36631]	Frankfurt, Germany	3.0	3.0
4589	[4589, 7342, 36622]	[4589, 7342, 36619]	Frankfurt, Germany	3.0	3.0
5396	[5396, 3257, 7342, 36625]	[5396, 6939, 7342, 36622]	Milan, Italy	4.0	4.0
6679	[6679, 3216, 7342, 36622]	[6679, 6939, 7342, 36622]	Moscow, Russia	4.0	4.0
6720	[6720, 8447, 7342, 36625]	[6720, 1853, 6939, 7342, 36622]	VIX, Vienna	4.0	5.0
6762	[6762, 2914, 36620]	[6762, 2516, 36631]	Palo Alto, USA	3.0	3.0
7575	[7575, 7342, 36620]	[7575, 24115, 10026, 36631]	Palo Alto, USA	3.0	4.0
8447	[8447, 7342, 36625]	[8447, 6939, 7342, 36622]	VIX, Vienna	3.0	4.0
8596	[8596, 7342, 36622]	[8596, 6939, 7342, 36622]	VIX, Vienna	3.0	4.0
8758	[8758, 8220, 7342, 36622]	[8758, 6939, 7342, 36622]	RIPE NCC, Amsterdam	4.0	4.0
9002	[9002, 7342, 36625]	[9002, 7342, 36622]	Moscow, Russia	3.0	3.0
9304	[9304, 7342, 36625]	[9304, 6939, 7342, 36619]	New York (NY), USA	3.0	4.0
13030	[13030, 7342, 36619]	[13030, 7342, 36622]	New York (NY), USA	3.0	3.0
14061	[14061, 2914, 36620]	[14061, 10026, 36631]	Palo Alto, USA	3.0	3.0
14840	[14840, 7342, 36619]	[14840, 18881, 3549, 3356, 36620]	Sao Paulo, Brazil	3.0	5.0
15605	[15605, 12874, 7342, 36625]	[15605, 12874, 7342, 36622]	Milan, Italy	4.0	4.0
25091	[25091, 7342, 36622]	[25091, 7342, 36625]	Moscow, Russia	3.0	3.0
25152	[25152, 2516, 36631]	[25152, 2914, 36620]	Otemachi, Japan	3.0	3.0
25160	[25160, 7342, 36625]	[25160, 6939, 7342, 36625]	LINX, London	3.0	4.0
29608	[29608, 3356, 36625]	[29608, 6939, 7342, 36625]	RIPE NCC, Amsterdam	3.0	4.0
29611	[29611, 7342, 36625]	[29611, 6939, 7342, 36625]	LINX, London	3.0	4.0
37989	[37989, 132132, 2914, 36620]	[37989, 4844, 6939, 7342, 36620]	RIPE NCC, Amsterdam	4.0	5.0
41497	[41497, 3257, 7342, 36625]	[41497, 6939, 7342, 36622]	Milan, Italy	4.0	4.0
56730	[56730, 7342, 36625]	[56730, 10026, 36631]	LINX, London	3.0	3.0
57821	[57821, 12586, 31025, 7342, 36622]	[57821, 6939, 7342, 36622]	RIPE NCC, Amsterdam	5.0	4.0
62567	[62567, 2914, 36619]	[62567, 6939, 7342, 36619]	New York (NY), USA	3.0	4.0
