	path4	path6	collector	len4	len6
286	[286, 1136, 25152]	[286, 1103, 25152]	LINX, London	3.0	3.0
553	[553, 25152]	[553, 1273, 25152]	Frankfurt, Germany	2.0	3.0
1280	[1280, 19151, 25152]	[1280, 1273, 25152]	Palo Alto, USA	3.0	3.0
1299	[1299, 13237, 25152]	[1299, 2914, 25152]	LINX, London	3.0	3.0
1853	[1853, 13237, 25152]	[1853, 6939, 25152]	VIX, Vienna	3.0	3.0
2497	[2497, 25152]	[2497, 1273, 25152]	Palo Alto, USA	2.0	3.0
3257	[3257, 13237, 25152]	[3257, 1103, 25152]	Frankfurt, Germany	3.0	3.0
6667	[6667, 25152]	[6667, 12859, 25152]	Stockholm, Sweden	2.0	3.0
6679	[6679, 20485, 25152]	[6679, 9002, 25152]	Moscow, Russia	3.0	3.0
6720	[6720, 6939, 25152]	[6720, 1853, 6939, 25152]	VIX, Vienna	3.0	4.0
7575	[7575, 24490, 20965, 1103, 25152]	[7575, 2603, 1103, 25152]	Palo Alto, USA	5.0	4.0
8447	[8447, 25152]	[8447, 6939, 25152]	VIX, Vienna	2.0	3.0
8758	[8758, 6939, 25152]	[8758, 6830, 25152]	RIPE NCC, Amsterdam	3.0	3.0
14840	[14840, 26615, 6762, 25152]	[14840, 18881, 3549, 6762, 25152]	Sao Paulo, Brazil	4.0	5.0
15435	[15435, 25152]	[15435, 1103, 25152]	AMS-IX and NL-IX, Amsterdam	2.0	3.0
20640	[20640, 19151, 25152]	[20640, 33843, 25152]	Frankfurt, Germany	3.0	3.0
28289	[28289, 53131, 16735, 25152]	[28289, 22548, 16735, 25152]	Sao Paulo, Brazil	4.0	4.0
29636	[29636, 6939, 25152]	[29636, 12859, 25152]	LINX, London	3.0	3.0
37989	[37989, 4844, 6939, 25152]	[37989, 4844, 2914, 25152]	RIPE NCC, Amsterdam	4.0	4.0
45896	[45896, 19151, 25152]	[45896, 6939, 25152]	RIPE NCC, Amsterdam	3.0	3.0
48166	[48166, 6939, 25152]	[48166, 25152]	Frankfurt, Germany	3.0	2.0
56730	[56730, 25152]	[56730, 12859, 25152]	LINX, London	2.0	3.0
