	path4	path6	collector	len4	len6
286	[286, 1136, 25152]	[286, 12859, 25152]	LINX, London	3.0	3.0
553	[553, 25152]	[553, 6939, 25152]	Frankfurt, Germany	2.0	3.0
1299	[1299, 13237, 25152]	[1299, 9498, 25152]	LINX, London	3.0	3.0
1836	[1836, 39912, 25152]	[1836, 25152]	RIPE NCC, Amsterdam	3.0	2.0
2497	[2497, 25152]	[2497, 6939, 25152]	Palo Alto, USA	2.0	3.0
3257	[3257, 13237, 25152]	[3257, 1103, 25152]	Frankfurt, Germany	3.0	3.0
5396	[5396, 39912, 25152]	[5396, 6939, 25152]	Milan, Italy	3.0	3.0
6667	[6667, 25152]	[6667, 39912, 25152]	Stockholm, Sweden	2.0	3.0
7575	[7575, 24490, 20965, 1103, 25152]	[7575, 2603, 1103, 25152]	Palo Alto, USA	5.0	4.0
8447	[8447, 25152]	[8447, 6939, 25152]	VIX, Vienna	2.0	3.0
8607	[8607, 25152]	[8607, 6939, 25152]	LINX, London	2.0	3.0
9189	[9189, 19151, 25152]	[9189, 6695, 25152]	Frankfurt, Germany	3.0	3.0
14840	[14840, 26615, 6762, 25152]	[14840, 18881, 3549, 6762, 25152]	Sao Paulo, Brazil	4.0	5.0
15435	[15435, 25152]	[15435, 1103, 25152]	AMS-IX and NL-IX, Amsterdam	2.0	3.0
20640	[20640, 6939, 25152]	[20640, 39912, 25152]	Frankfurt, Germany	3.0	3.0
25160	[25160, 25152]	[25160, 6939, 25152]	LINX, London	2.0	3.0
29611	[29611, 25152]	[29611, 6939, 25152]	LINX, London	2.0	3.0
29636	[29636, 6939, 25152]	[29636, 12859, 25152]	LINX, London	3.0	3.0
30844	[30844, 25152]	[30844, 12859, 25152]	LINX, London	2.0	3.0
37989	[37989, 4844, 6939, 25152]	[37989, 4844, 1273, 25152]	RIPE NCC, Amsterdam	4.0	4.0
45896	[45896, 19151, 25152]	[45896, 6939, 25152]	RIPE NCC, Amsterdam	3.0	3.0
48166	[48166, 23148, 25152]	[48166, 9002, 25152]	Frankfurt, Germany	3.0	3.0
50304	[50304, 6939, 25152]	[50304, 1103, 25152]	RIPE NCC, Amsterdam	3.0	3.0
56730	[56730, 25152]	[56730, 6939, 25152]	LINX, London	2.0	3.0
57821	[57821, 6939, 25152]	[57821, 48039, 25152]	RIPE NCC, Amsterdam	3.0	3.0
