	collector	path4	path6	len4	len6
286	VIX, Vienna	[286, 6939, 20144]	[286, 5577, 20144]	3.0	3.0
680	Frankfurt, Germany	[680, 6939, 20144]	[680, 20965, 5408, 8522, 20144]	3.0	5.0
1299	LINX, London	[1299, 15685, 20144]	[1299, 8218, 20144]	3.0	3.0
1853	VIX, Vienna	[1853, 2852, 20144]	[1853, 8218, 20144]	3.0	3.0
1916	Sao Paulo, Brazil	[1916, 20144]	[1916, 22548, 20144]	2.0	3.0
2914	Palo Alto, USA	[2914, 24990, 20144]	[2914, 30781, 20144]	3.0	3.0
6667	Stockholm, Sweden	[6667, 6939, 20144]	[6667, 21011, 20144]	3.0	3.0
6762	Palo Alto, USA	[6762, 34224, 34984, 20144]	[6762, 6939, 20144]	4.0	3.0
6850	Moscow, Russia	[6850, 48287, 20144]	[6850, 21011, 20144]	3.0	3.0
6881	RIPE NCC, Amsterdam	[6881, 20144]	[6881, 8218, 20144]	2.0	3.0
8426	New York (NY), USA	[8426, 23148, 20144]	[8426, 6939, 20144]	3.0	3.0
8447	VIX, Vienna	[8447, 8218, 20144]	[8447, 6939, 20144]	3.0	3.0
9002	Moscow, Russia	[9002, 43355, 48268, 15685, 20144]	[9002, 21011, 20144]	5.0	3.0
9189	Frankfurt, Germany	[9189, 6939, 20144]	[9189, 6695, 5577, 20144]	3.0	4.0
12637	Milan, Italy	[12637, 6939, 20144]	[12637, 3257, 8954, 20144]	3.0	4.0
12779	Milan, Italy	[12779, 8928, 12301, 50146, 20144]	[12779, 8218, 20144]	5.0	3.0
12859	AMS-IX and NL-IX, Amsterdam	[12859, 39138, 20144]	[12859, 8954, 20144]	3.0	3.0
12989	AMS-IX and NL-IX, Amsterdam	[12989, 20144]	[12989, 16735, 22548, 20144]	2.0	4.0
13030	New York (NY), USA	[13030, 36944, 2018, 20144]	[13030, 1273, 15835, 48287, 20144]	4.0	5.0
13237	Frankfurt, Germany	[13237, 8218, 20144]	[13237, 5577, 20144]	3.0	3.0
14840	Sao Paulo, Brazil	[14840, 20144]	[14840, 22548, 20144]	2.0	3.0
15469	Milan, Italy	[15469, 9002, 43355, 48268, 15685, 20144]	[15469, 42, 20144]	6.0	3.0
16735	Sao Paulo, Brazil	[16735, 20144]	[16735, 22548, 20144]	2.0	3.0
28289	Sao Paulo, Brazil	[28289, 20144]	[28289, 22548, 20144]	2.0	3.0
28917	Moscow, Russia	[28917, 39134, 15835, 48287, 20144]	[28917, 21011, 20144]	5.0	3.0
29140	Frankfurt, Germany	[29140, 30781, 20144]	[29140, 5577, 20144]	3.0	3.0
34288	Frankfurt, Germany	[34288, 6939, 20144]	[34288, 42, 20144]	3.0	3.0
35369	VIX, Vienna	[35369, 42, 20144]	[35369, 8218, 20144]	3.0	3.0
39912	Milan, Italy	[39912, 9002, 43355, 48268, 15685, 20144]	[39912, 42, 20144]	6.0	3.0
42708	LINX, London	[42708, 8473, 20144]	[42708, 30781, 20144]	3.0	3.0
