	collector	path4	path6	len4	len6
286	VIX, Vienna	[286, 6939, 20144]	[286, 1273, 20144]	3.0	3.0
1853	VIX, Vienna	[1853, 2852, 20144]	[1853, 20965, 3549, 20144]	3.0	4.0
2497	Otemachi, Japan	[2497, 20144]	[2497, 1273, 20144]	2.0	3.0
4589	Frankfurt, Germany	[4589, 6939, 20144]	[4589, 29208, 20144]	3.0	3.0
8447	VIX, Vienna	[8447, 23148, 20144]	[8447, 29208, 20144]	3.0	3.0
9002	LINX, London	[9002, 48268, 15685, 20144]	[9002, 29208, 20144]	4.0	3.0
12859	AMS-IX and NL-IX, Amsterdam	[12859, 23148, 20144]	[12859, 29208, 20144]	3.0	3.0
13030	LINX, London	[13030, 23148, 20144]	[13030, 3257, 20144]	3.0	3.0
13237	Frankfurt, Germany	[13237, 6939, 20144]	[13237, 29208, 20144]	3.0	3.0
19151	Frankfurt, Germany	[19151, 20144]	[19151, 4436, 20144]	2.0	3.0
20640	Frankfurt, Germany	[20640, 23148, 20144]	[20640, 29208, 20144]	3.0	3.0
29686	Frankfurt, Germany	[29686, 6939, 20144]	[29686, 29208, 20144]	3.0	3.0
30132	AMS-IX and NL-IX, Amsterdam	[30132, 6453, 20144]	[30132, 29208, 20144]	3.0	3.0
