	collector	path6	path4	len4	len6
251	Sao Paulo, Brazil	[251, 6939, 7500]	[251, 2497, 7500]	3.0	3.0
286	LINX, London	[286, 3257, 7500]	[286, 2497, 7500]	3.0	3.0
553	Frankfurt, Germany	[553, 6939, 7500]	[553, 1299, 3257, 7500]	4.0	3.0
680	Frankfurt, Germany	[680, 3257, 7500]	[680, 3356, 24785, 7500]	4.0	3.0
1103	AMS-IX and NL-IX, Amsterdam	[1103, 20965, 2200, 7500]	[1103, 20965, 11537, 22388, 7660, 2500, 7500]	7.0	4.0
1280	Palo Alto, USA	[1280, 2500, 7500]	[1280, 7500]	2.0	3.0
1853	VIX, Vienna	[1853, 6939, 7500]	[1853, 1764, 3257, 7500]	4.0	3.0
1916	Sao Paulo, Brazil	[1916, 6939, 7500]	[1916, 27750, 11537, 22388, 7660, 2500, 7500]	7.0	3.0
2914	Palo Alto, USA	[2914, 9957, 17832, 7500]	[2914, 2497, 7500]	3.0	4.0
6679	Moscow, Russia	[6679, 6939, 7500]	[6679, 20485, 2497, 7500]	4.0	3.0
6720	VIX, Vienna	[6720, 1853, 6939, 7500]	[6720, 1853, 1764, 3257, 7500]	5.0	4.0
6881	RIPE NCC, Amsterdam	[6881, 6939, 7500]	[6881, 3257, 7500]	3.0	3.0
7575	Palo Alto, USA	[7575, 6453, 2518, 7500]	[7575, 11537, 22388, 7660, 2500, 7500]	6.0	4.0
8447	VIX, Vienna	[8447, 6939, 7500]	[8447, 20562, 24785, 7500]	4.0	3.0
8596	VIX, Vienna	[8596, 6939, 7500]	[8596, 286, 3257, 7500]	4.0	3.0
8607	LINX, London	[8607, 6939, 7500]	[8607, 41095, 24785, 7500]	4.0	3.0
8758	RIPE NCC, Amsterdam	[8758, 6939, 7500]	[8758, 15576, 3257, 7500]	4.0	3.0
9002	Moscow, Russia	[9002, 6939, 7500]	[9002, 2497, 7500]	3.0	3.0
9189	Frankfurt, Germany	[9189, 6695, 6939, 7500]	[9189, 44953, 20562, 24785, 7500]	5.0	4.0
12637	Milan, Italy	[12637, 6939, 7500]	[12637, 20562, 24785, 7500]	4.0	3.0
12779	Milan, Italy	[12779, 6939, 7500]	[12779, 41095, 24785, 7500]	4.0	3.0
12859	AMS-IX and NL-IX, Amsterdam	[12859, 6939, 7500]	[12859, 41095, 24785, 7500]	4.0	3.0
13030	New York (NY), USA	[13030, 6939, 7500]	[13030, 41095, 24785, 7500]	4.0	3.0
13237	Frankfurt, Germany	[13237, 6939, 7500]	[13237, 41095, 24785, 7500]	4.0	3.0
14840	Sao Paulo, Brazil	[14840, 6939, 7500]	[14840, 26615, 6762, 7500]	4.0	3.0
15435	AMS-IX and NL-IX, Amsterdam	[15435, 7500]	[15435, 20562, 24785, 7500]	4.0	2.0
15605	Milan, Italy	[15605, 6939, 7500]	[15605, 174, 24785, 7500]	4.0	3.0
16735	Sao Paulo, Brazil	[16735, 6939, 7500]	[16735, 2497, 7500]	3.0	3.0
22548	Sao Paulo, Brazil	[22548, 16735, 6939, 7500]	[22548, 16735, 2497, 7500]	4.0	4.0
22652	RIPE NCC, Amsterdam	[22652, 6939, 7500]	[22652, 41095, 24785, 7500]	4.0	3.0
25091	Moscow, Russia	[25091, 6939, 7500]	[25091, 20562, 24785, 7500]	4.0	3.0
25152	Otemachi, Japan	[25152, 2497, 7500]	[25152, 2500, 7500]	3.0	3.0
25160	LINX, London	[25160, 6939, 7500]	[25160, 3356, 24785, 7500]	4.0	3.0
25220	Frankfurt, Germany	[25220, 6939, 7500]	[25220, 20562, 24785, 7500]	4.0	3.0
28917	Moscow, Russia	[28917, 6939, 7500]	[28917, 41095, 24785, 7500]	4.0	3.0
29140	Frankfurt, Germany	[29140, 6939, 7500]	[29140, 20562, 24785, 7500]	4.0	3.0
29611	LINX, London	[29611, 6939, 7500]	[29611, 41095, 24785, 7500]	4.0	3.0
29636	LINX, London	[29636, 3257, 7500]	[29636, 41095, 24785, 7500]	4.0	3.0
35369	VIX, Vienna	[35369, 6939, 7500]	[35369, 174, 24785, 7500]	4.0	3.0
37989	RIPE NCC, Amsterdam	[37989, 4844, 6939, 7500]	[37989, 4844, 2914, 7500]	4.0	4.0
48166	Frankfurt, Germany	[48166, 6939, 7500]	[48166, 50384, 7500]	3.0	3.0
49605	Milan, Italy	[49605, 6939, 7500]	[49605, 5580, 2497, 7500]	4.0	3.0
50763	AMS-IX and NL-IX, Amsterdam	[50763, 6939, 7500]	[50763, 20562, 24785, 7500]	4.0	3.0
51185	Milan, Italy	[51185, 6939, 7500]	[51185, 20562, 24785, 7500]	4.0	3.0
52888	Sao Paulo, Brazil	[52888, 1916, 6939, 7500]	[52888, 1251, 11537, 22388, 7660, 2500, 7500]	7.0	4.0
53070	Sao Paulo, Brazil	[53070, 12989, 6939, 7500]	[53070, 12989, 2516, 7500]	4.0	4.0
56730	LINX, London	[56730, 6939, 7500]	[56730, 51945, 39326, 41095, 24785, 7500]	6.0	3.0
57381	RIPE NCC, Amsterdam	[57381, 42708, 6939, 7500]	[57381, 50304, 20562, 24785, 7500]	5.0	4.0
57821	RIPE NCC, Amsterdam	[57821, 6939, 7500]	[57821, 48039, 3257, 7500]	4.0	3.0
