	path4	path6	collector	len4	len6
286	[286, 6939, 22925, 27]	[286, 6939, 42, 27]	LINX, London	4.0	4.0
553	[553, 42, 27]	[553, 6939, 42, 27]	Frankfurt, Germany	3.0	4.0
1916	[1916, 6939, 22925, 27]	[1916, 6939, 42, 27]	Sao Paulo, Brazil	4.0	4.0
2914	[2914, 42, 27]	[2914, 10886, 27]	Palo Alto, USA	3.0	3.0
5396	[5396, 6939, 22925, 27]	[5396, 6939, 42, 27]	Milan, Italy	4.0	4.0
6667	[6667, 42, 27]	[6667, 6939, 42, 27]	Stockholm, Sweden	3.0	4.0
6679	[6679, 42, 27]	[6679, 9002, 10886, 27]	Moscow, Russia	3.0	4.0
6720	[6720, 6939, 22925, 27]	[6720, 1853, 20965, 11537, 10886, 27]	VIX, Vienna	4.0	6.0
6881	[6881, 6939, 22925, 27]	[6881, 6939, 42, 27]	RIPE NCC, Amsterdam	4.0	4.0
6939	[6939, 22925, 27]	[6939, 42, 27]	Palo Alto, USA	3.0	3.0
8447	[8447, 42, 27]	[8447, 6939, 42, 27]	VIX, Vienna	3.0	4.0
8758	[8758, 6830, 42, 27]	[8758, 6939, 42, 27]	RIPE NCC, Amsterdam	4.0	4.0
9002	[9002, 42, 27]	[9002, 10886, 27]	Moscow, Russia	3.0	3.0
12637	[12637, 6939, 22925, 27]	[12637, 6939, 42, 27]	Milan, Italy	4.0	4.0
12859	[12859, 6939, 22925, 27]	[12859, 6939, 42, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
13030	[13030, 42, 27]	[13030, 6939, 42, 27]	New York (NY), USA	3.0	4.0
15435	[15435, 6939, 22925, 27]	[15435, 6939, 42, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
15469	[15469, 6939, 22925, 27]	[15469, 6939, 42, 27]	RIPE NCC, Amsterdam	4.0	4.0
15605	[15605, 6939, 22925, 27]	[15605, 6939, 42, 27]	Milan, Italy	4.0	4.0
20640	[20640, 6695, 42, 27]	[20640, 6939, 42, 27]	Frankfurt, Germany	4.0	4.0
20932	[20932, 6939, 22925, 27]	[20932, 6939, 42, 27]	CIXP, Geneva	4.0	4.0
22652	[22652, 6939, 22925, 27]	[22652, 6939, 42, 27]	RIPE NCC, Amsterdam	4.0	4.0
25091	[25091, 42, 27]	[25091, 6939, 42, 27]	Moscow, Russia	3.0	4.0
29608	[29608, 6939, 22925, 27]	[29608, 6939, 42, 27]	RIPE NCC, Amsterdam	4.0	4.0
29636	[29636, 6939, 22925, 27]	[29636, 42, 27]	LINX, London	4.0	3.0
29686	[29686, 42, 27]	[29686, 6939, 42, 27]	Frankfurt, Germany	3.0	4.0
35369	[35369, 6939, 22925, 27]	[35369, 8218, 42, 27]	VIX, Vienna	4.0	4.0
49605	[49605, 6939, 22925, 27]	[49605, 6939, 42, 27]	Milan, Italy	4.0	4.0
50763	[50763, 6939, 22925, 27]	[50763, 6939, 42, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
51185	[51185, 6939, 22925, 27]	[51185, 6939, 42, 27]	Milan, Italy	4.0	4.0
52888	[52888, 1251, 11537, 10886, 27]	[52888, 1916, 6939, 42, 27]	Sao Paulo, Brazil	5.0	5.0
57821	[57821, 6939, 22925, 27]	[57821, 6939, 42, 27]	RIPE NCC, Amsterdam	4.0	4.0
