	collector	path6	path4	len4	len6
286	VIX, Vienna	[286, 1257, 8674, 29216]	[286, 702, 8674, 29216]	4.0	4.0
1916	Sao Paulo, Brazil	[1916, 27750, 20965, 2603, 8674, 29216]	[1916, 27750, 11537, 22335, 8674, 29216]	6.0	6.0
3257	Frankfurt, Germany	[3257, 2497, 8674, 29216]	[3257, 4651, 9931, 8674, 29216]	5.0	4.0
6667	Stockholm, Sweden	[6667, 6939, 8674, 29216]	[6667, 8674, 29216]	3.0	4.0
6881	RIPE NCC, Amsterdam	[6881, 6939, 8674, 29216]	[6881, 3257, 4651, 9931, 8674, 29216]	6.0	4.0
7575	Palo Alto, USA	[7575, 24490, 20965, 2603, 8674, 29216]	[7575, 8674, 29216]	3.0	6.0
8426	New York (NY), USA	[8426, 6939, 8674, 29216]	[8426, 8928, 41313, 34984, 8517, 8674, 29216]	7.0	4.0
8758	RIPE NCC, Amsterdam	[8758, 6939, 8674, 29216]	[8758, 6830, 8674, 29216]	4.0	4.0
9189	Frankfurt, Germany	[9189, 6695, 6939, 8674, 29216]	[9189, 6695, 34224, 34984, 8517, 8674, 29216]	7.0	5.0
13030	New York (NY), USA	[13030, 2914, 8674, 29216]	[13030, 2497, 8674, 29216]	4.0	4.0
14840	Sao Paulo, Brazil	[14840, 18881, 3549, 6762, 8674, 29216]	[14840, 8674, 29216]	3.0	6.0
16735	Sao Paulo, Brazil	[16735, 6939, 8674, 29216]	[16735, 8674, 29216]	3.0	4.0
19151	Frankfurt, Germany	[19151, 6939, 8674, 29216]	[19151, 8674, 29216]	3.0	4.0
22548	Sao Paulo, Brazil	[22548, 3549, 6762, 8674, 29216]	[22548, 16735, 8674, 29216]	4.0	5.0
28138	Sao Paulo, Brazil	[28138, 16735, 6939, 8674, 29216]	[28138, 16735, 8674, 29216]	4.0	5.0
28289	Sao Paulo, Brazil	[28289, 53131, 16735, 6939, 8674, 29216]	[28289, 53131, 16735, 8674, 29216]	5.0	6.0
29140	Frankfurt, Germany	[29140, 6939, 8674, 29216]	[29140, 34224, 34984, 8517, 8674, 29216]	6.0	4.0
29636	LINX, London	[29636, 6939, 8674, 29216]	[29636, 8674, 29216]	3.0	4.0
