	collector	path6	path4	len4	len6
286	VIX, Vienna	[286, 6762, 8674, 29216]	[286, 702, 8674, 29216]	4.0	4.0
680	Frankfurt, Germany	[680, 20965, 2603, 8674, 29216]	[680, 20965, 2611, 8674, 29216]	5.0	5.0
1103	AMS-IX and NL-IX, Amsterdam	[1103, 20965, 2603, 8674, 29216]	[1103, 20965, 2611, 8674, 29216]	5.0	5.0
1853	VIX, Vienna	[1853, 20965, 2603, 8674, 29216]	[1853, 8674, 29216]	3.0	5.0
3257	Frankfurt, Germany	[3257, 2603, 8674, 29216]	[3257, 4651, 9931, 8674, 29216]	5.0	4.0
6667	Stockholm, Sweden	[6667, 6939, 8674, 29216]	[6667, 8674, 29216]	3.0	4.0
6881	RIPE NCC, Amsterdam	[6881, 6939, 8674, 29216]	[6881, 3257, 4651, 9931, 8674, 29216]	6.0	4.0
8758	RIPE NCC, Amsterdam	[8758, 6939, 8674, 29216]	[8758, 3356, 2611, 8674, 29216]	5.0	4.0
