	path4	collector	path6	len4	len6
286	[286, 7922, 33491, 3557]	LINX, London	[286, 30132, 3557]	4.0	3.0
1836	[1836, 13030, 30126, 3557]	SwissIX, Zurich	[1836, 13030, 33082, 3557]	4.0	4.0
6453	[6453, 7922, 33491, 3557]	AMS-IX and NL-IX, Amsterdam	[6453, 1280, 3557]	4.0	3.0
8758	[8758, 8220, 33072, 3557]	SwissIX, Zurich	[8758, 6939, 30122, 3557]	4.0	4.0
9002	[9002, 30124, 3557]	Moscow, Russia	[9002, 30132, 3557]	3.0	3.0
9189	[9189, 25074, 30132, 3557]	Frankfurt, Germany	[9189, 6939, 33082, 3557]	4.0	4.0
9304	[9304, 4635, 23709, 3557]	New York (NY), USA	[9304, 6939, 30122, 3557]	4.0	4.0
13030	[13030, 1280, 394070, 3557]	New York (NY), USA	[13030, 33082, 3557]	4.0	3.0
15547	[15547, 43531, 30132, 3557]	France-IX, Paris	[15547, 6939, 30122, 3557]	4.0	4.0
15605	[15605, 174, 7922, 33491, 3557]	Milan, Italy	[15605, 6939, 33077, 3557]	5.0	4.0
16735	[16735, 22548, 30122, 3557]	Sao Paulo, Brazil	[16735, 6939, 30122, 3557]	4.0	4.0
25152	[25152, 6939, 30130, 3557]	Miami, USA	[25152, 6939, 30122, 3557]	4.0	4.0
28329	[28329, 30122, 3557]	Sao Paulo, Brazil	[28329, 6939, 30122, 3557]	3.0	4.0
28917	[28917, 30132, 3557]	Moscow, Russia	[28917, 30124, 3557]	3.0	3.0
28941	[28941, 174, 7922, 33491, 3557]	Milan, Italy	[28941, 6939, 33077, 3557]	5.0	4.0
41497	[41497, 3257, 30132, 3557]	Milan, Italy	[41497, 6939, 33077, 3557]	4.0	4.0
51185	[51185, 30132, 3557]	Milan, Italy	[51185, 6939, 33077, 3557]	3.0	4.0
51405	[51405, 24611, 3549, 33082, 3557]	France-IX, Paris	[51405, 6939, 30126, 3557]	5.0	4.0
56730	[56730, 51945, 39326, 33073, 3557]	LINX, London	[56730, 51945, 6939, 30122, 3557]	5.0	5.0
57821	[57821, 12586, 31400, 33082, 3557]	RIPE NCC, Amsterdam	[57821, 6939, 33082, 3557]	5.0	4.0
62567	[62567, 6453, 7922, 33491, 3557]	New York (NY), USA	[62567, 6939, 30122, 3557]	5.0	4.0
198249	[198249, 13030, 30126, 3557]	SwissIX, Zurich	[198249, 13030, 33082, 3557]	4.0	4.0
198290	[198290, 30126, 3557]	France-IX, Paris	[198290, 6661, 3257, 30132, 3557]	3.0	5.0
202194	[202194, 6939, 33077, 3557]	SwissIX, Zurich	[202194, 6939, 30122, 3557]	4.0	4.0
