	path4	collector	path6	len4	len6
513	[513, 6730, 30126, 3557]	CIXP, Geneva	[513, 8928, 3257, 30132, 3557]	4.0	5.0
8758	[8758, 8220, 33072, 3557]	SwissIX, Zurich	[8758, 6939, 33077, 3557]	4.0	4.0
9002	[9002, 30124, 3557]	Moscow, Russia	[9002, 30132, 3557]	3.0	3.0
9304	[9304, 4635, 23709, 3557]	New York (NY), USA	[9304, 6939, 30130, 3557]	4.0	4.0
13030	[13030, 1280, 394070, 3557]	New York (NY), USA	[13030, 33082, 3557]	4.0	3.0
16347	[16347, 8218, 43100, 33077, 3557]	France-IX, Paris	[16347, 6939, 30132, 3557]	5.0	4.0
16735	[16735, 22548, 30122, 3557]	Sao Paulo, Brazil	[16735, 6939, 30130, 3557]	4.0	4.0
28917	[28917, 6453, 30132, 3557]	Moscow, Russia	[28917, 30124, 3557]	4.0	3.0
29691	[29691, 13030, 30126, 3557]	SwissIX, Zurich	[29691, 6939, 33077, 3557]	4.0	4.0
31122	[31122, 6453, 30132, 3557]	France-IX, Paris	[31122, 6939, 30126, 3557]	4.0	4.0
31424	[31424, 13030, 30126, 3557]	SwissIX, Zurich	[31424, 31133, 30124, 3557]	4.0	4.0
34288	[34288, 3257, 30132, 3557]	SwissIX, Zurich	[34288, 31133, 30124, 3557]	4.0	4.0
41497	[41497, 3257, 30132, 3557]	Milan, Italy	[41497, 6939, 33077, 3557]	4.0	4.0
47872	[47872, 28917, 6453, 30132, 3557]	Stockholm, Sweden	[47872, 6939, 30132, 3557]	5.0	4.0
48526	[48526, 30132, 3557]	France-IX, Paris	[48526, 6939, 33082, 3557]	3.0	4.0
50304	[50304, 30132, 3557]	RIPE NCC, Amsterdam	[50304, 42708, 30132, 3557]	3.0	4.0
51405	[51405, 24611, 3549, 33082, 3557]	France-IX, Paris	[51405, 6939, 30126, 3557]	5.0	4.0
56730	[56730, 51945, 39326, 33073, 3557]	LINX, London	[56730, 51945, 6939, 30132, 3557]	5.0	5.0
57118	[57118, 196621, 15576, 8220, 33072, 3557]	SwissIX, Zurich	[57118, 6939, 33077, 3557]	6.0	4.0
57821	[57821, 12586, 31400, 33082, 3557]	RIPE NCC, Amsterdam	[57821, 6939, 33082, 3557]	5.0	4.0
59689	[59689, 8218, 43100, 33077, 3557]	France-IX, Paris	[59689, 6939, 30126, 3557]	5.0	4.0
62567	[62567, 6453, 1280, 3557]	New York (NY), USA	[62567, 6939, 30130, 3557]	4.0	4.0
198290	[198290, 30126, 3557]	France-IX, Paris	[198290, 197264, 6939, 30126, 3557]	3.0	5.0
